id,headline,country_1,country_2,source,url,published_at,text,label
2cc1925f96d48491b525,"China imposes tariffs on Indian imports, escalating trade tension - Reuters",CN,IN,synthetic-The Guardian,urn:synthetic:2cc1925f96d48491b525,2026-04-17T12:22:18Z,"China imposes tariffs on Indian imports, escalating trade tension - Reuters",adversarial
af2d96031b5153c89b5d,"India and China clash over FDI restrictions, trade talks stall - Bloomberg",CN,IN,synthetic-Mint,urn:synthetic:af2d96031b5153c89b5d,2026-04-17T12:22:18Z,"India and China clash over FDI restrictions, trade talks stall - Bloomberg",adversarial
adb9dacfd87f1afd5ba8,China's retaliation to Indian tariffs intensifies trade war - CNN Business,CN,IN,synthetic-South China Morning Post,urn:synthetic:adb9dacfd87f1afd5ba8,2026-04-17T12:22:18Z,China's retaliation to Indian tariffs intensifies trade war - CNN Business,adversarial
a4d6d55caf45dabe10b9,Border tensions escalate as China restricts supplies to India - Financial Times,CN,IN,synthetic-Reuters,urn:synthetic:a4d6d55caf45dabe10b9,2026-04-17T12:22:18Z,Border tensions escalate as China restricts supplies to India - Financial Times,adversarial
0df29c9734ccca3a8070,"India accuses China of dumping goods, threatens countermeasures - Forbes",CN,IN,synthetic-The Times of India,urn:synthetic:0df29c9734ccca3a8070,2026-04-17T12:22:18Z,"India accuses China of dumping goods, threatens countermeasures - Forbes",adversarial
428fc6dceb5db1e95a64,"China's BRI project faces resistance from India, raising diplomatic tension - Wall Street Journal",CN,IN,synthetic-Bloomberg,urn:synthetic:428fc6dceb5db1e95a64,2026-04-17T12:22:18Z,"China's BRI project faces resistance from India, raising diplomatic tension - Wall Street Journal",adversarial
bbf70a787397b0f22cca,"Trade deficit widens between India and China, sparking concerns - The Economic Times",CN,IN,synthetic-Mint,urn:synthetic:bbf70a787397b0f22cca,2026-04-17T12:22:18Z,"Trade deficit widens between India and China, sparking concerns - The Economic Times",adversarial
c412db4f85109fb4099c,India expels Chinese diplomats in response to border incursions - The Guardian,CN,IN,synthetic-CNBC,urn:synthetic:c412db4f85109fb4099c,2026-04-17T12:22:18Z,India expels Chinese diplomats in response to border incursions - The Guardian,adversarial
707f8d7b4203bc274626,"Himalayan border dispute flares up, causing trade disruptions between India and China - Al Jazeera",CN,IN,synthetic-Financial Times,urn:synthetic:707f8d7b4203bc274626,2026-04-17T12:22:18Z,"Himalayan border dispute flares up, causing trade disruptions between India and China - Al Jazeera",adversarial
4819da70b2bd789e07d1,"China coerces Indian companies to exit strategic sectors, raising decoupling fears - The Hindu",CN,IN,synthetic-The Times of India,urn:synthetic:4819da70b2bd789e07d1,2026-04-17T12:22:18Z,"China coerces Indian companies to exit strategic sectors, raising decoupling fears - The Hindu",adversarial
27fc7396fb0121c1e7a0,"India bans Chinese apps, deepening tech rivalry with China - CNBC",CN,IN,synthetic-The Hindu,urn:synthetic:27fc7396fb0121c1e7a0,2026-04-17T12:22:18Z,"India bans Chinese apps, deepening tech rivalry with China - CNBC",adversarial
